"ORDEN_V"	"CPRO"	"CMUN"	"TIPO_VIV"	"TENEN_VIV"	"RT_imp"	"SUPERF"	"PLANTAS_sr"	"PLANTAS_br"	"TIPO_EDIF"	"ANOCO"	"TAM_HOG_5"
39	29	067	0			92	10	0	3	1976	
48	29	051	1	2	0	89	7	1	3	2002	4
54	29	067	1	2	0	67	1	0	1	1963	1
70	29	082	0			79	5	0	3	1982	
115	29	069	1	2	0	89	4	0	3	2012	4
137	29	067	1	2	0	74	7	0	3	1985	3
162	29	054	1	3	0	104	7	0	3	1988	5
190	29	070	1	2	1	63	7	0	3	2007	3
212	29	025	1	2	0	50	2	0	3	1965	3
225	29	067	1	2	0	70	10	0	3	1975	2
235	29	008	1	2	0	64	3	0	3	1985	3
298	29	067	1	2	0	68	10	0	3	1969	2
329	29	091	1	2	0	47	5	0	3	2008	1
345	29	067	1	2	0	89	9	0	3	1975	4
388	29	084	1	2	1	81	4	0	3	1989	3
465	29	084	1	2	0	91	2	0	3	2007	3
489	29	067	1	2	0	83	7	0	3	2002	5
492	29	054	1	2	0	74	8	0	3	1972	5
529	29	991	0			87	1	0	2		
534	29	025	0			114	1	0	1	1972	
554	29	992	1	2	1	67	1	0	1	1998	4
609	29	038	1	2	0	128	1	0	1	1980	5
617	29	993	1	4	1	76	4	0	3	2016	5
657	29	901	1	2	0	75	7	0	3	1982	1
658	29	067	0			70	4	0	3	1998	
661	29	012	1	2	0	104	1	0	1	1940	4
695	29	992	0			62	2	0	1	1998	
719	29	067	1	4	0	66	7	0	3	2004	1
761	29	069	0			98	6	0	3	2006	
781	29	051	1	2	0	124	1	0	1	1975	2
826	29	054	1	2	0	64	8	0	3	1985	1
831	29	067	1	3	0	50	5	1	3	1968	3
832	29	091	1	2	0	96	1	0	1	1970	5
835	29	015	0			113	5	0	3	2009	
837	29	992	1	2	0	70	1	0	1	1976	3
867	29	067	1	2	0	62	5	0	3	1969	2
870	29	025	0			70	4	1	3	1972	
889	29	094	1	4	0	60	1	0	1	1987	1
912	29	094	1	2	0	70	4	0	3	2009	5
928	29	069	1	2	0				4		3
933	29	094	1	2	1	71	5	0	3	1998	4
960	29	054	0			124	4	0	3	2002	
976	29	051	1	2	1	94	4	0	3	2001	4
989	29	025	1	2	0	97	5	0	3	1984	4
1052	29	993	1	2	0	89	1	0	2	1985	2
1069	29	067	1	2	0	78	1	0	1	1968	1
1083	29	094	1	2	0	91	3	0	3	2008	1
1126	29	993	1	2	0	51	4	1	3	2005	1
1151	29	993	1	2	0	121	1	0	2	2005	4
1164	29	067	1	2	0	108	3	0	3	2006	5
1176	29	067	0			172	1	0	1		
1276	29	025	0			57	3	0	3	2009	
